Gene,Importance,symbol,name
ENSG00000129988,2.713665244802311e-05,LBP,lipopolysaccharide binding protein
ENSG00000175334,2.7093053652929484e-05,BANF1,barrier to autointegration nuclear assembly factor 1
ENSG00000211668,2.708667838134249e-05,IGLV2-11,immunoglobulin lambda variable 2-11
ENSG00000115468,2.7041838657940333e-05,EFHD1,EF-hand domain family member D1
ENSG00000109814,2.6901749542256e-05,UGDH,UDP-glucose 6-dehydrogenase
ENSG00000223865,2.657412088052104e-05,HLA-DPB1,"major histocompatibility complex, class II, DP beta 1"
ENSG00000163520,2.649623444390957e-05,FBLN2,fibulin 2
ENSG00000178935,2.6419642958239142e-05,ZNF552,zinc finger protein 552
ENSG00000238741,2.6244283611668667e-05,SCARNA7,small Cajal body-specific RNA 7
ENSG00000223648,2.6145913349531942e-05,IGHV3-64,immunoglobulin heavy variable 3-64
ENSG00000263639,2.6028518531148102e-05,MSMB,microseminoprotein beta
ENSG00000169919,2.602604716026612e-05,GUSB,glucuronidase beta
ENSG00000129625,2.6014306483246356e-05,REEP5,receptor accessory protein 5
ENSG00000126945,2.5890261693891947e-05,HNRNPH2,heterogeneous nuclear ribonucleoprotein H2
ENSG00000169604,2.587795107822176e-05,ANTXR1,ANTXR cell adhesion molecule 1
ENSG00000105640,2.583945123524545e-05,RPL18A,ribosomal protein L18a
ENSG00000112578,2.5821859538249314e-05,BYSL,bystin like
ENSG00000245532,2.582143364402999e-05,NEAT1,nuclear paraspeckle assembly transcript 1
ENSG00000100632,2.5647476692284835e-05,ERH,ERH mRNA splicing and mitosis factor
ENSG00000141741,2.5423683341012654e-05,MIEN1,migration and invasion enhancer 1
ENSG00000211896,2.5251519069409687e-05,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
ENSG00000211651,2.5168672181322603e-05,IGLV1-44,immunoglobulin lambda variable 1-44
ENSG00000248779,2.512744581215497e-05,,
ENSG00000163683,2.511619357026755e-05,SMIM14,small integral membrane protein 14
ENSG00000244437,2.509478442802951e-05,IGKV3-15,immunoglobulin kappa variable 3-15
ENSG00000229117,2.4870466321242963e-05,RPL41,ribosomal protein L41
